# threads, bench_type, bench_mode, elapsed_ns, latency_ns, elapsed_clock_ns, clock_ns_per_iter
1, refcount, fetch_sub, 9250910.000000, 9.2509100000, 9084000.000000, 9.084000
1, refcount, cmpxchg_strong, 9819453.000000, 9.8194530000, 9683000.000000, 9.683000
1, refcount, cmpxchg_weak, 9892660.000000, 9.8926600000, 9800000.000000, 9.800000
1, refcount, std::shared_ptr, 10229933.000000, 10.2299330000, 10099000.000000, 10.099000
1, spinlock, fetch_or, 4827828.000000, 4.8278280000, 4711000.000000, 4.711000
1, spinlock, fetch_add, 8178788.000000, 8.1787880000, 8085000.000000, 8.085000
1, spinlock, cmpxchg_strong, 5941463.000000, 5.9414630000, 5833000.000000, 5.833000
1, spinlock, cmpxchg_strong_pause, 6395184.000000, 6.3951840000, 6309000.000000, 6.309000
1, spinlock, cmpxchg_weak, 5813688.000000, 5.8136880000, 5718000.000000, 5.718000
1, spinlock, cmpxchg_weak_pause, 6364885.000000, 6.3648850000, 6275000.000000, 6.275000
1, spinlock, std::mutex, 10804888.000000, 10.8048880000, 10597000.000000, 10.597000
2, refcount, fetch_sub, 26047501.000000, 26.0475010000, 50898000.000000, 50.898000
2, refcount, cmpxchg_strong, 34433985.000000, 34.4339850000, 68327000.000000, 68.327000
2, refcount, cmpxchg_weak, 36341823.000000, 36.3418230000, 72132000.000000, 72.132000
2, refcount, std::shared_ptr, 27725496.000000, 27.7254960000, 55047000.000000, 55.047000
2, spinlock, fetch_or, 33484487.000000, 33.4844870000, 66538000.000000, 66.538000
2, spinlock, fetch_add, 79192459.000000, 79.1924590000, 156848000.000000, 156.848000
2, spinlock, cmpxchg_strong, 17779648.000000, 17.7796480000, 32929000.000000, 32.929000
2, spinlock, cmpxchg_strong_pause, 26097290.000000, 26.0972900000, 51596000.000000, 51.596000
2, spinlock, cmpxchg_weak, 22321321.000000, 22.3213210000, 43608000.000000, 43.608000
2, spinlock, cmpxchg_weak_pause, 14606687.000000, 14.6066870000, 26818000.000000, 26.818000
2, spinlock, std::mutex, 36964778.000000, 36.9647780000, 70333000.000000, 70.333000
3, refcount, fetch_sub, 22137078.000000, 22.1370780000, 60850000.000000, 60.850000
3, refcount, cmpxchg_strong, 31423860.000000, 31.4238600000, 90392000.000000, 90.392000
3, refcount, cmpxchg_weak, 29122101.000000, 29.1221010000, 84165000.000000, 84.165000
3, refcount, std::shared_ptr, 22863781.000000, 22.8637810000, 66940000.000000, 66.940000
3, spinlock, fetch_or, 29010080.000000, 29.0100800000, 82812000.000000, 82.812000
3, spinlock, fetch_add, 505958475.000000, 505.9584750000, 1514856000.000000, 1514.856000
3, spinlock, cmpxchg_strong, 24405232.000000, 24.4052320000, 64467000.000000, 64.467000
3, spinlock, cmpxchg_strong_pause, 34844947.000000, 34.8449470000, 101465000.000000, 101.465000
3, spinlock, cmpxchg_weak, 29451138.000000, 29.4511380000, 84648000.000000, 84.648000
3, spinlock, cmpxchg_weak_pause, 32046827.000000, 32.0468270000, 94561000.000000, 94.561000
3, spinlock, std::mutex, 34079207.000000, 34.0792070000, 85161000.000000, 85.161000
4, refcount, fetch_sub, 26384960.000000, 26.3849600000, 102319000.000000, 102.319000
4, refcount, cmpxchg_strong, 32008262.000000, 32.0082620000, 121777000.000000, 121.777000
4, refcount, cmpxchg_weak, 35088996.000000, 35.0889960000, 130783000.000000, 130.783000
4, refcount, std::shared_ptr, 22489729.000000, 22.4897290000, 87368000.000000, 87.368000
4, spinlock, fetch_or, 45432962.000000, 45.4329620000, 174048000.000000, 174.048000
4, spinlock, fetch_add, 201523196.000000, 201.5231960000, 782955000.000000, 782.955000
4, spinlock, cmpxchg_strong, 31635791.000000, 31.6357910000, 102916000.000000, 102.916000
4, spinlock, cmpxchg_strong_pause, 27262935.000000, 27.2629350000, 99339000.000000, 99.339000
4, spinlock, cmpxchg_weak, 28608016.000000, 28.6080160000, 98654000.000000, 98.654000
4, spinlock, cmpxchg_weak_pause, 38272557.000000, 38.2725570000, 147439000.000000, 147.439000
4, spinlock, std::mutex, 51677176.000000, 51.6771760000, 164723000.000000, 164.723000
5, refcount, fetch_sub, 28836496.000000, 28.8364960000, 128968000.000000, 128.968000
5, refcount, cmpxchg_strong, 40703004.000000, 40.7030040000, 190410000.000000, 190.410000
5, refcount, cmpxchg_weak, 37729255.000000, 37.7292550000, 178951000.000000, 178.951000
5, refcount, std::shared_ptr, 32988165.000000, 32.9881650000, 154032000.000000, 154.032000
5, spinlock, fetch_or, 65878871.000000, 65.8788710000, 320722000.000000, 320.722000
5, spinlock, fetch_add, 1888823967.000000, 1888.8239670000, 9367539000.000000, 9367.539000
5, spinlock, cmpxchg_strong, 48302548.000000, 48.3025480000, 208358000.000000, 208.358000
5, spinlock, cmpxchg_strong_pause, 30639114.000000, 30.6391140000, 130285000.000000, 130.285000
5, spinlock, cmpxchg_weak, 30392679.000000, 30.3926790000, 118431000.000000, 118.431000
5, spinlock, cmpxchg_weak_pause, 43042732.000000, 43.0427320000, 202201000.000000, 202.201000
5, spinlock, std::mutex, 68301733.000000, 68.3017330000, 263302000.000000, 263.302000
6, refcount, fetch_sub, 32843272.000000, 32.8432720000, 167743000.000000, 167.743000
6, refcount, cmpxchg_strong, 43285670.000000, 43.2856700000, 228379000.000000, 228.379000
6, refcount, cmpxchg_weak, 39654148.000000, 39.6541480000, 209478000.000000, 209.478000
6, refcount, std::shared_ptr, 43200348.000000, 43.2003480000, 211705000.000000, 211.705000
6, spinlock, fetch_or, 89416570.000000, 89.4165700000, 474372000.000000, 474.372000
6, spinlock, fetch_add, 5750369841.000000, 5750.3698410000, 33427414000.000000, 33427.414000
6, spinlock, cmpxchg_strong, 42304823.000000, 42.3048230000, 198321000.000000, 198.321000
6, spinlock, cmpxchg_strong_pause, 35234249.000000, 35.2342490000, 183173000.000000, 183.173000
6, spinlock, cmpxchg_weak, 33454812.000000, 33.4548120000, 182902000.000000, 182.902000
6, spinlock, cmpxchg_weak_pause, 35275474.000000, 35.2754740000, 185077000.000000, 185.077000
6, spinlock, std::mutex, 72619500.000000, 72.6195000000, 355916000.000000, 355.916000
7, refcount, fetch_sub, 29855550.000000, 29.8555500000, 193125000.000000, 193.125000
